trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.5, 'e': 0.787833337799994}",20,0,-111.35471624843863,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.7862500044999939}",20,0,-186.10349945247242,"{0: 11, 1: 2, 2: 1, 3: 3, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.7846666711999939}",25,10,-55.7495115019145,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.7830833378999938}",20,0,-49.6504011817547,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.7815000045999938}",20,4,-39.77954080863579,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.7799166712999938}",20,0,-104.72722297281359,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.7783333379999937}",20,0,-49.39442772993145,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.7767500046999937}",30,0,-211.3443800253259,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
142,False,"{'a': 0.5, 'e': 0.7751666713999936}",25,0,-73.18479270283747,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.7735833380999936}",20,0,-134.7663426358433,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
144,False,"{'a': 0.5, 'e': 0.7720000047999935}",20,0,-26.101228053035687,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.7704166714999935}",20,0,-142.40896552381543,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.7688333381999934}",25,0,-119.21341149171884,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.7672500048999934}",25,0,-126.97090513767651,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.7656666715999934}",20,0,-139.34824713831372,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.7640833382999933}",20,0,-109.67990492526356,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.7625000049999933}",20,0,-89.01708066845504,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.7609166716999932}",25,14,-0.2214784715039757,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.7593333383999932}",20,0,-37.372857901110685,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.7577500050999931}",20,0,-23.713320098929273,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.7561666717999931}",20,0,-126.15421813319547,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.754583338499993}",30,0,-148.48249434559034,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.753000005199993}",25,0,-107.94178186266082,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.751416671899993}",25,0,-90.86353616937332,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.7498333385999929}",20,0,-39.12084140557542,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.7482500052999929}",20,0,-28.27764397947119,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.7466666719999928}",25,15,-16.32972547190408,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.7450833386999928}",20,5,-76.11987934483874,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.7435000053999927}",30,0,-105.30587266954402,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.7419166720999927}",25,0,-114.54812476192551,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.7403333387999926}",20,10,-94.21426218899768,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
165,False,"{'a': 0.5, 'e': 0.7387500054999926}",20,0,-19.293845252111474,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.7371666721999925}",25,15,-17.819686619977603,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.7355833388999925}",30,4,-177.05598091561686,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 3}",1
168,False,"{'a': 0.5, 'e': 0.7340000055999925}",20,0,-26.739639176216965,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.7324166722999924}",20,14,11.198033445876241,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.7308333389999924}",20,0,-63.165345731495016,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.7292500056999923}",25,0,-23.72182210672441,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.7276666723999923}",25,0,-68.47150218487296,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.7260833390999922}",20,0,-1.7397639319664902,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.7245000057999922}",20,7,-40.19068450464584,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
